Type,Severity,Unit,Word Index,Word,Description,Suggestion
"missing_example","medium","3","8","bureaucracy","Missing example for word "bureaucracy"","Add a meaningful example sentence"
"missing_example","medium","3","9","configure","Missing example for word "configure"","Add a meaningful example sentence"
"missing_example","medium","3","10","consolidate","Missing example for word "consolidate"","Add a meaningful example sentence"
"missing_example","medium","3","11","convenience","Missing example for word "convenience"","Add a meaningful example sentence"
"missing_example","medium","3","12","deduct","Missing example for word "deduct"","Add a meaningful example sentence"
"missing_example","medium","3","13","deem","Missing example for word "deem"","Add a meaningful example sentence"
"missing_example","medium","3","14","entrepreneur","Missing example for word "entrepreneur"","Add a meaningful example sentence"
"missing_example","medium","3","15","evenly","Missing example for word "evenly"","Add a meaningful example sentence"
"missing_example","medium","3","16","fiscal","Missing example for word "fiscal"","Add a meaningful example sentence"
"missing_example","medium","3","17","franchise","Missing example for word "franchise"","Add a meaningful example sentence"
"missing_example","medium","3","18","ideological","Missing example for word "ideological"","Add a meaningful example sentence"
"missing_example","medium","3","19","robot","Missing example for word "robot"","Add a meaningful example sentence"
"missing_example","medium","4","","abbey","Missing example for word "abbey"","Add a meaningful example sentence"
"missing_example","medium","4","1","abundant","Missing example for word "abundant"","Add a meaningful example sentence"
"missing_example","medium","4","2","adjoin","Missing example for word "adjoin"","Add a meaningful example sentence"
"missing_example","medium","4","3","ample","Missing example for word "ample"","Add a meaningful example sentence"
"missing_example","medium","4","4","arid","Missing example for word "arid"","Add a meaningful example sentence"
"missing_example","medium","4","5","cathedral","Missing example for word "cathedral"","Add a meaningful example sentence"
"missing_example","medium","4","6","crisis","Missing example for word "crisis"","Add a meaningful example sentence"
"missing_example","medium","4","7","deprive","Missing example for word "deprive"","Add a meaningful example sentence"
"missing_example","medium","4","8","drought","Missing example for word "drought"","Add a meaningful example sentence"
"missing_example","medium","4","9","eligible","Missing example for word "eligible"","Add a meaningful example sentence"
"missing_example","medium","4","10","fast","Missing example for word "fast"","Add a meaningful example sentence"
"missing_example","medium","4","11","grumble","Missing example for word "grumble"","Add a meaningful example sentence"
"missing_example","medium","4","12","inland","Missing example for word "inland"","Add a meaningful example sentence"
"missing_example","medium","4","13","moisture","Missing example for word "moisture"","Add a meaningful example sentence"
"missing_example","medium","4","14","nonetheless","Missing example for word "nonetheless"","Add a meaningful example sentence"
"missing_example","medium","4","15","oath","Missing example for word "oath"","Add a meaningful example sentence"
"missing_example","medium","4","16","prairie","Missing example for word "prairie"","Add a meaningful example sentence"
"missing_example","medium","4","17","rugged","Missing example for word "rugged"","Add a meaningful example sentence"
"missing_example","medium","4","18","scarce","Missing example for word "scarce"","Add a meaningful example sentence"
"missing_example","medium","4","19","speculate","Missing example for word "speculate"","Add a meaningful example sentence"
"missing_example","medium","5","","aquatic","Missing example for word "aquatic"","Add a meaningful example sentence"
"missing_example","medium","5","1","biosphere","Missing example for word "biosphere"","Add a meaningful example sentence"
"missing_example","medium","5","2","bizarre","Missing example for word "bizarre"","Add a meaningful example sentence"
"missing_example","medium","5","3","Celsius","Missing example for word "Celsius"","Add a meaningful example sentence"
"missing_example","medium","5","4","coarse","Missing example for word "coarse"","Add a meaningful example sentence"
"missing_example","medium","5","5","companion","Missing example for word "companion"","Add a meaningful example sentence"
"missing_example","medium","5","6","digest","Missing example for word "digest"","Add a meaningful example sentence"
"missing_example","medium","5","7","duration","Missing example for word "duration"","Add a meaningful example sentence"
"missing_example","medium","5","8","ecology","Missing example for word "ecology"","Add a meaningful example sentence"
"missing_example","medium","5","9","feat","Missing example for word "feat"","Add a meaningful example sentence"
"missing_example","medium","5","10","infinite","Missing example for word "infinite"","Add a meaningful example sentence"
"missing_example","medium","5","11","nucleus","Missing example for word "nucleus"","Add a meaningful example sentence"
"missing_example","medium","5","12","parasite","Missing example for word "parasite"","Add a meaningful example sentence"
"missing_example","medium","5","13","prominent","Missing example for word "prominent"","Add a meaningful example sentence"
"missing_example","medium","5","14","repetitive","Missing example for word "repetitive"","Add a meaningful example sentence"
"missing_example","medium","5","15","reproductive","Missing example for word "reproductive"","Add a meaningful example sentence"
"missing_example","medium","5","16","temperate","Missing example for word "temperate"","Add a meaningful example sentence"
"missing_example","medium","5","17","tolerance","Missing example for word "tolerance"","Add a meaningful example sentence"
"missing_example","medium","5","18","undergo","Missing example for word "undergo"","Add a meaningful example sentence"
"missing_example","medium","5","19","vulnerable","Missing example for word "vulnerable"","Add a meaningful example sentence"
"missing_example","medium","6","","archaic","Missing example for word "archaic"","Add a meaningful example sentence"
"missing_example","medium","6","1","brass","Missing example for word "brass"","Add a meaningful example sentence"
"missing_example","medium","6","2","capitalism","Missing example for word "capitalism"","Add a meaningful example sentence"
"missing_example","medium","6","3","component","Missing example for word "component"","Add a meaningful example sentence"
"missing_example","medium","6","4","dependence","Missing example for word "dependence"","Add a meaningful example sentence"
"missing_example","medium","6","5","diminish","Missing example for word "diminish"","Add a meaningful example sentence"
"missing_example","medium","6","6","drawback","Missing example for word "drawback"","Add a meaningful example sentence"
"missing_example","medium","6","7","impose","Missing example for word "impose"","Add a meaningful example sentence"
"missing_example","medium","6","8","industry","Missing example for word "industry"","Add a meaningful example sentence"
"missing_example","medium","6","9","managerial","Missing example for word "managerial"","Add a meaningful example sentence"
"missing_example","medium","6","10","medieval","Missing example for word "medieval"","Add a meaningful example sentence"
"missing_example","medium","6","11","obsolete","Missing example for word "obsolete"","Add a meaningful example sentence"
"missing_example","medium","6","12","oriented","Missing example for word "oriented"","Add a meaningful example sentence"
"missing_example","medium","6","13","peninsula","Missing example for word "peninsula"","Add a meaningful example sentence"
"missing_example","medium","6","14","prestige","Missing example for word "prestige"","Add a meaningful example sentence"
"missing_example","medium","6","15","proportion","Missing example for word "proportion"","Add a meaningful example sentence"
"missing_example","medium","6","16","radical","Missing example for word "radical"","Add a meaningful example sentence"
"missing_example","medium","6","17","refute","Missing example for word "refute"","Add a meaningful example sentence"
"missing_example","medium","6","18","spectacular","Missing example for word "spectacular"","Add a meaningful example sentence"
"missing_example","medium","6","19","weave","Missing example for word "weave"","Add a meaningful example sentence"
"missing_example","medium","7","","accountant","Missing example for word "accountant"","Add a meaningful example sentence"
"missing_example","medium","7","1","capitalist","Missing example for word "capitalist"","Add a meaningful example sentence"
"missing_example","medium","7","2","contempt","Missing example for word "contempt"","Add a meaningful example sentence"
"missing_example","medium","7","3","crop","Missing example for word "crop"","Add a meaningful example sentence"
"missing_example","medium","7","4","dedicate","Missing example for word "dedicate"","Add a meaningful example sentence"
"missing_example","medium","7","5","ditch","Missing example for word "ditch"","Add a meaningful example sentence"
"missing_example","medium","7","6","enterprise","Missing example for word "enterprise"","Add a meaningful example sentence"
"missing_example","medium","7","7","finance","Missing example for word "finance"","Add a meaningful example sentence"
"missing_example","medium","7","8","indifferent","Missing example for word "indifferent"","Add a meaningful example sentence"
"missing_example","medium","7","9","irrigate","Missing example for word "irrigate"","Add a meaningful example sentence"
"missing_example","medium","7","10","maximize","Missing example for word "maximize"","Add a meaningful example sentence"
"missing_example","medium","7","11","monetary","Missing example for word "monetary"","Add a meaningful example sentence"
"missing_example","medium","7","12","precaution","Missing example for word "precaution"","Add a meaningful example sentence"
"missing_example","medium","7","13","preliminary","Missing example for word "preliminary"","Add a meaningful example sentence"
"missing_example","medium","7","14","saturate","Missing example for word "saturate"","Add a meaningful example sentence"
"missing_example","medium","7","15","simplicity","Missing example for word "simplicity"","Add a meaningful example sentence"
"missing_example","medium","7","16","sow","Missing example for word "sow"","Add a meaningful example sentence"
"missing_example","medium","7","17","spade","Missing example for word "spade"","Add a meaningful example sentence"
"missing_example","medium","7","18","tomato","Missing example for word "tomato"","Add a meaningful example sentence"
"missing_example","medium","7","19","upcoming","Missing example for word "upcoming"","Add a meaningful example sentence"
"missing_example","medium","8","","anthropology","Missing example for word "anthropology"","Add a meaningful example sentence"
"missing_example","medium","8","1","applaud","Missing example for word "applaud"","Add a meaningful example sentence"
"missing_example","medium","8","2","appoint","Missing example for word "appoint"","Add a meaningful example sentence"
"missing_example","medium","8","3","compatible","Missing example for word "compatible"","Add a meaningful example sentence"
"missing_example","medium","8","4","competence","Missing example for word "competence"","Add a meaningful example sentence"
"missing_example","medium","8","5","confer","Missing example for word "confer"","Add a meaningful example sentence"
"missing_example","medium","8","6","consecutive","Missing example for word "consecutive"","Add a meaningful example sentence"
"missing_example","medium","8","7","crude","Missing example for word "crude"","Add a meaningful example sentence"
"missing_example","medium","8","8","cube","Missing example for word "cube"","Add a meaningful example sentence"
"missing_example","medium","8","9","feedback","Missing example for word "feedback"","Add a meaningful example sentence"
"missing_example","medium","8","10","ignorance","Missing example for word "ignorance"","Add a meaningful example sentence"
"missing_example","medium","8","11","masculine","Missing example for word "masculine"","Add a meaningful example sentence"
"missing_example","medium","8","12","monument","Missing example for word "monument"","Add a meaningful example sentence"
"missing_example","medium","8","13","muscular","Missing example for word "muscular"","Add a meaningful example sentence"
"missing_example","medium","8","14","posture","Missing example for word "posture"","Add a meaningful example sentence"
"missing_example","medium","8","15","situate","Missing example for word "situate"","Add a meaningful example sentence"
"missing_example","medium","8","16","supervise","Missing example for word "supervise"","Add a meaningful example sentence"
"missing_example","medium","8","17","symmetry","Missing example for word "symmetry"","Add a meaningful example sentence"
"missing_example","medium","8","18","tattoo","Missing example for word "tattoo"","Add a meaningful example sentence"
"missing_example","medium","8","19","undergraduate","Missing example for word "undergraduate"","Add a meaningful example sentence"
"missing_example","medium","9","","cater","Missing example for word "cater"","Add a meaningful example sentence"
"missing_example","medium","9","1","considerate","Missing example for word "considerate"","Add a meaningful example sentence"
"missing_example","medium","9","2","consumption","Missing example for word "consumption"","Add a meaningful example sentence"
"missing_example","medium","9","3","criteria","Missing example for word "criteria"","Add a meaningful example sentence"
"missing_example","medium","9","4","crust","Missing example for word "crust"","Add a meaningful example sentence"
"missing_example","medium","9","5","entitle","Missing example for word "entitle"","Add a meaningful example sentence"
"missing_example","medium","9","6","escort","Missing example for word "escort"","Add a meaningful example sentence"
"missing_example","medium","9","7","external","Missing example for word "external"","Add a meaningful example sentence"
"missing_example","medium","9","8","facility","Missing example for word "facility"","Add a meaningful example sentence"
"missing_example","medium","9","9","faculty","Missing example for word "faculty"","Add a meaningful example sentence"
"missing_example","medium","9","10","heap","Missing example for word "heap"","Add a meaningful example sentence"
"missing_example","medium","9","11","hemisphere","Missing example for word "hemisphere"","Add a meaningful example sentence"
"missing_example","medium","9","12","hound","Missing example for word "hound"","Add a meaningful example sentence"
"missing_example","medium","9","13","impersonal","Missing example for word "impersonal"","Add a meaningful example sentence"
"missing_example","medium","9","14","lick","Missing example for word "lick"","Add a meaningful example sentence"
"missing_example","medium","9","15","ornament","Missing example for word "ornament"","Add a meaningful example sentence"
"missing_example","medium","9","16","pedestrian","Missing example for word "pedestrian"","Add a meaningful example sentence"
"missing_example","medium","9","17","sanctuary","Missing example for word "sanctuary"","Add a meaningful example sentence"
"missing_example","medium","9","18","spectator","Missing example for word "spectator"","Add a meaningful example sentence"
"missing_example","medium","9","19","yell","Missing example for word "yell"","Add a meaningful example sentence"
"missing_example","medium","10","","accessory","Missing example for word "accessory"","Add a meaningful example sentence"
"missing_example","medium","10","1","acquisition","Missing example for word "acquisition"","Add a meaningful example sentence"
"missing_example","medium","10","2","cardboard","Missing example for word "cardboard"","Add a meaningful example sentence"
"missing_example","medium","10","3","dilemma","Missing example for word "dilemma"","Add a meaningful example sentence"
"missing_example","medium","10","4","elaborate","Missing example for word "elaborate"","Add a meaningful example sentence"
"missing_example","medium","10","5","facilitate","Missing example for word "facilitate"","Add a meaningful example sentence"
"missing_example","medium","10","6","fleet","Missing example for word "fleet"","Add a meaningful example sentence"
"missing_example","medium","10","7","grid","Missing example for word "grid"","Add a meaningful example sentence"
"missing_example","medium","10","8","import","Missing example for word "import"","Add a meaningful example sentence"
"missing_example","medium","10","9","infer","Missing example for word "infer"","Add a meaningful example sentence"
"missing_example","medium","10","10","inflate","Missing example for word "inflate"","Add a meaningful example sentence"
"missing_example","medium","10","11","innate","Missing example for word "innate"","Add a meaningful example sentence"
"missing_example","medium","10","12","marble","Missing example for word "marble"","Add a meaningful example sentence"
"missing_example","medium","10","13","mast","Missing example for word "mast"","Add a meaningful example sentence"
"missing_example","medium","10","14","nausea","Missing example for word "nausea"","Add a meaningful example sentence"
"missing_example","medium","10","15","naval","Missing example for word "naval"","Add a meaningful example sentence"
"missing_example","medium","10","16","pouch","Missing example for word "pouch"","Add a meaningful example sentence"
"missing_example","medium","10","17","saturated","Missing example for word "saturated"","Add a meaningful example sentence"
"missing_example","medium","10","18","update","Missing example for word "update"","Add a meaningful example sentence"
"missing_example","medium","11","","attorney","Missing example for word "attorney"","Add a meaningful example sentence"
"missing_example","medium","11","1","chronic","Missing example for word "chronic"","Add a meaningful example sentence"
"missing_example","medium","11","2","discipline","Missing example for word "discipline"","Add a meaningful example sentence"
"missing_example","medium","11","3","donor","Missing example for word "donor"","Add a meaningful example sentence"
"missing_example","medium","11","4","fellow","Missing example for word "fellow"","Add a meaningful example sentence"
"missing_example","medium","11","5","gossip","Missing example for word "gossip"","Add a meaningful example sentence"
"missing_example","medium","11","6","graduate","Missing example for word "graduate"","Add a meaningful example sentence"
"missing_example","medium","11","7","graffiti","Missing example for word "graffiti"","Add a meaningful example sentence"
"missing_example","medium","11","8","guardian","Missing example for word "guardian"","Add a meaningful example sentence"
"missing_example","medium","11","9","implicate","Missing example for word "implicate"","Add a meaningful example sentence"
"missing_example","medium","11","10","kin","Missing example for word "kin"","Add a meaningful example sentence"
"missing_example","medium","11","11","referee","Missing example for word "referee"","Add a meaningful example sentence"
"missing_example","medium","11","12","sever","Missing example for word "sever"","Add a meaningful example sentence"
"missing_example","medium","11","13","shaft","Missing example for word "shaft"","Add a meaningful example sentence"
"missing_example","medium","11","14","stimulus","Missing example for word "stimulus"","Add a meaningful example sentence"
"missing_example","medium","11","15","suspicion","Missing example for word "suspicion"","Add a meaningful example sentence"
"missing_example","medium","11","16","terminate","Missing example for word "terminate"","Add a meaningful example sentence"
"missing_example","medium","11","17","theme","Missing example for word "theme"","Add a meaningful example sentence"
"missing_example","medium","11","18","tuition","Missing example for word "tuition"","Add a meaningful example sentence"
"missing_example","medium","12","","aggressive","Missing example for word "aggressive"","Add a meaningful example sentence"
"missing_example","medium","12","1","amnesty","Missing example for word "amnesty"","Add a meaningful example sentence"
"missing_example","medium","12","2","arena","Missing example for word "arena"","Add a meaningful example sentence"
"missing_example","medium","12","3","auditorium","Missing example for word "auditorium"","Add a meaningful example sentence"
"missing_example","medium","12","4","captive","Missing example for word "captive"","Add a meaningful example sentence"
"missing_example","medium","12","5","combat","Missing example for word "combat"","Add a meaningful example sentence"
"missing_example","medium","12","6","corps","Missing example for word "corps"","Add a meaningful example sentence"
"missing_example","medium","12","7","distract","Missing example for word "distract"","Add a meaningful example sentence"
"missing_example","medium","12","8","dumb","Missing example for word "dumb"","Add a meaningful example sentence"
"missing_example","medium","12","9","foe","Missing example for word "foe"","Add a meaningful example sentence"
"missing_example","medium","12","10","meditate","Missing example for word "meditate"","Add a meaningful example sentence"
"missing_example","medium","12","11","nick","Missing example for word "nick"","Add a meaningful example sentence"
"missing_example","medium","12","12","provoke","Missing example for word "provoke"","Add a meaningful example sentence"
"missing_example","medium","12","13","reign","Missing example for word "reign"","Add a meaningful example sentence"
"missing_example","medium","12","14","rust","Missing example for word "rust"","Add a meaningful example sentence"
"missing_example","medium","12","15","sacred","Missing example for word "sacred"","Add a meaningful example sentence"
"missing_example","medium","13","","aesthetic","Missing example for word "aesthetic"","Add a meaningful example sentence"
"missing_example","medium","13","1","arrogant","Missing example for word "arrogant"","Add a meaningful example sentence"
"missing_example","medium","13","2","drill","Missing example for word "drill"","Add a meaningful example sentence"
"missing_example","medium","14","","behalf","Missing example for word "behalf"","Add a meaningful example sentence"
"missing_example","medium","14","1","inward","Missing example for word "inward"","Add a meaningful example sentence"
"missing_example","medium","14","2","loaf","Missing example for word "loaf"","Add a meaningful example sentence"
"missing_example","medium","15","","aquarium","Missing example for word "aquarium"","Add a meaningful example sentence"
"missing_example","medium","15","1","arbitrary","Missing example for word "arbitrary"","Add a meaningful example sentence"
"missing_example","medium","15","2","autobiography","Missing example for word "autobiography"","Add a meaningful example sentence"
"missing_example","medium","15","3","convention","Missing example for word "convention"","Add a meaningful example sentence"
"missing_example","medium","15","4","gracious","Missing example for word "gracious"","Add a meaningful example sentence"
"missing_example","medium","15","5","improve","Missing example for word "improve"","Add a meaningful example sentence"
"missing_example","medium","15","6","insulate","Missing example for word "insulate"","Add a meaningful example sentence"
"missing_example","medium","15","7","intrigue","Missing example for word "intrigue"","Add a meaningful example sentence"
"missing_example","medium","15","8","longevity","Missing example for word "longevity"","Add a meaningful example sentence"
"missing_example","medium","15","9","misplace","Missing example for word "misplace"","Add a meaningful example sentence"
"missing_example","medium","15","10","naughty","Missing example for word "naughty"","Add a meaningful example sentence"
"missing_example","medium","15","11","orangutan","Missing example for word "orangutan"","Add a meaningful example sentence"
"missing_example","medium","15","12","overload","Missing example for word "overload"","Add a meaningful example sentence"
"missing_example","medium","15","13","philanthropy","Missing example for word "philanthropy"","Add a meaningful example sentence"
"missing_example","medium","15","14","probe","Missing example for word "probe"","Add a meaningful example sentence"
"missing_example","medium","15","15","recipient","Missing example for word "recipient"","Add a meaningful example sentence"
"missing_example","medium","15","16","reptile","Missing example for word "reptile"","Add a meaningful example sentence"
"missing_example","medium","15","17","thrive","Missing example for word "thrive"","Add a meaningful example sentence"
"missing_example","medium","15","18","ultimate","Missing example for word "ultimate"","Add a meaningful example sentence"
"missing_example","medium","16","","antique","Missing example for word "antique"","Add a meaningful example sentence"
"missing_example","medium","16","1","applicant","Missing example for word "applicant"","Add a meaningful example sentence"
"missing_example","medium","16","2","artifact","Missing example for word "artifact"","Add a meaningful example sentence"
"missing_example","medium","16","3","authentic","Missing example for word "authentic"","Add a meaningful example sentence"
"missing_example","medium","16","4","chronology","Missing example for word "chronology"","Add a meaningful example sentence"
"missing_example","medium","16","5","diplomat","Missing example for word "diplomat"","Add a meaningful example sentence"
"missing_example","medium","16","6","epic","Missing example for word "epic"","Add a meaningful example sentence"
"missing_example","medium","16","7","excerpt","Missing example for word "excerpt"","Add a meaningful example sentence"
"missing_example","medium","16","8","fossil","Missing example for word "fossil"","Add a meaningful example sentence"
"missing_example","medium","16","9","humiliate","Missing example for word "humiliate"","Add a meaningful example sentence"
"missing_example","medium","16","10","lyric","Missing example for word "lyric"","Add a meaningful example sentence"
"missing_example","medium","16","11","majesty","Missing example for word "majesty"","Add a meaningful example sentence"
"missing_example","medium","16","12","monarch","Missing example for word "monarch"","Add a meaningful example sentence"
"missing_example","medium","16","13","precede","Missing example for word "precede"","Add a meaningful example sentence"
"missing_example","medium","16","14","punctual","Missing example for word "punctual"","Add a meaningful example sentence"
"missing_example","medium","16","15","recruit","Missing example for word "recruit"","Add a meaningful example sentence"
"missing_example","medium","16","16","refund","Missing example for word "refund"","Add a meaningful example sentence"
"missing_example","medium","16","17","register","Missing example for word "register"","Add a meaningful example sentence"
"missing_example","medium","16","18","renown","Missing example for word "renown"","Add a meaningful example sentence"
"missing_example","medium","16","19","tusk","Missing example for word "tusk"","Add a meaningful example sentence"
"missing_example","medium","17","","coexist","Missing example for word "coexist"","Add a meaningful example sentence"
"missing_example","medium","17","1","conceive","Missing example for word "conceive"","Add a meaningful example sentence"
"missing_example","medium","17","2","dubious","Missing example for word "dubious"","Add a meaningful example sentence"
"missing_example","medium","17","3","ego","Missing example for word "ego"","Add a meaningful example sentence"
"missing_example","medium","17","4","endeavor","Missing example for word "endeavor"","Add a meaningful example sentence"
"missing_example","medium","17","5","engrave","Missing example for word "engrave"","Add a meaningful example sentence"
"missing_example","medium","17","6","excavate","Missing example for word "excavate"","Add a meaningful example sentence"
"missing_example","medium","17","7","jagged","Missing example for word "jagged"","Add a meaningful example sentence"
"missing_example","medium","17","8","locale","Missing example for word "locale"","Add a meaningful example sentence"
"missing_example","medium","17","9","magnitude","Missing example for word "magnitude"","Add a meaningful example sentence"
"missing_example","medium","17","10","mold","Missing example for word "mold"","Add a meaningful example sentence"
"missing_example","medium","17","11","periphery","Missing example for word "periphery"","Add a meaningful example sentence"
"missing_example","medium","17","12","plaster","Missing example for word "plaster"","Add a meaningful example sentence"
"missing_example","medium","17","13","shovel","Missing example for word "shovel"","Add a meaningful example sentence"
"missing_example","medium","17","14","thigh","Missing example for word "thigh"","Add a meaningful example sentence"
"missing_example","medium","18","","attic","Missing example for word "attic"","Add a meaningful example sentence"
"missing_example","medium","18","1","chunk","Missing example for word "chunk"","Add a meaningful example sentence"
"missing_example","medium","18","2","civic","Missing example for word "civic"","Add a meaningful example sentence"
"missing_example","medium","18","3","descent","Missing example for word "descent"","Add a meaningful example sentence"
"missing_example","medium","18","4","din","Missing example for word "din"","Add a meaningful example sentence"
"missing_example","medium","18","5","dissatisfy","Missing example for word "dissatisfy"","Add a meaningful example sentence"
"missing_example","medium","18","6","fuss","Missing example for word "fuss"","Add a meaningful example sentence"
"missing_example","medium","18","7","glamorous","Missing example for word "glamorous"","Add a meaningful example sentence"
"missing_example","medium","18","8","gourmet","Missing example for word "gourmet"","Add a meaningful example sentence"
"missing_example","medium","18","9","hence","Missing example for word "hence"","Add a meaningful example sentence"
"missing_example","medium","18","10","intrinsic","Missing example for word "intrinsic"","Add a meaningful example sentence"
"missing_example","medium","18","11","kettle","Missing example for word "kettle"","Add a meaningful example sentence"
"missing_example","medium","18","12","ministry","Missing example for word "ministry"","Add a meaningful example sentence"
"missing_example","medium","18","13","ordeal","Missing example for word "ordeal"","Add a meaningful example sentence"
"missing_example","medium","18","14","overwork","Missing example for word "overwork"","Add a meaningful example sentence"
"missing_example","medium","18","15","soundly","Missing example for word "soundly"","Add a meaningful example sentence"
"missing_example","medium","18","16","superintendent","Missing example for word "superintendent"","Add a meaningful example sentence"
"missing_example","medium","19","","congested","Missing example for word "congested"","Add a meaningful example sentence"
"missing_example","medium","19","1","courier","Missing example for word "courier"","Add a meaningful example sentence"
"missing_example","medium","19","2","deform","Missing example for word "deform"","Add a meaningful example sentence"
"missing_example","medium","19","3","etiquette","Missing example for word "etiquette"","Add a meaningful example sentence"
"missing_example","medium","19","4","exclusive","Missing example for word "exclusive"","Add a meaningful example sentence"
"missing_example","medium","19","5","freight","Missing example for word "freight"","Add a meaningful example sentence"
"missing_example","medium","19","6","garment","Missing example for word "garment"","Add a meaningful example sentence"
"missing_example","medium","19","7","insomnia","Missing example for word "insomnia"","Add a meaningful example sentence"
"missing_example","medium","19","8","intuitive","Missing example for word "intuitive"","Add a meaningful example sentence"
"missing_example","medium","19","9","premium","Missing example for word "premium"","Add a meaningful example sentence"
"missing_example","medium","19","10","privilege","Missing example for word "privilege"","Add a meaningful example sentence"
"missing_example","medium","19","11","propel","Missing example for word "propel"","Add a meaningful example sentence"
"missing_example","medium","19","12","socialize","Missing example for word "socialize"","Add a meaningful example sentence"
"missing_example","medium","19","13","tram","Missing example for word "tram"","Add a meaningful example sentence"
"missing_example","medium","20","","accumulate","Missing example for word "accumulate"","Add a meaningful example sentence"
"missing_example","medium","20","1","aerial","Missing example for word "aerial"","Add a meaningful example sentence"
"missing_example","medium","20","2","apparatus","Missing example for word "apparatus"","Add a meaningful example sentence"
"missing_example","medium","20","3","avalanche","Missing example for word "avalanche"","Add a meaningful example sentence"
"missing_example","medium","20","4","consistency","Missing example for word "consistency"","Add a meaningful example sentence"
"missing_example","medium","20","5","discharge","Missing example for word "discharge"","Add a meaningful example sentence"
"missing_example","medium","20","6","episode","Missing example for word "episode"","Add a meaningful example sentence"
